dataset,metric,reference,ablation,folds,full_minus_ablation_mean,full_minus_ablation_std,cohen_dz,wilcoxon_p_raw,wilcoxon_p_holm
CHSZ,accuracy,full,no_mean_connectivity,27,0.827227291660818,6.171175123418538,0.13154119264946013,0.8489292299042391,1.0
CHSZ,accuracy,full,no_derivative_connectivity,27,-0.7449671553423487,4.792631442853037,-0.15253443049221727,0.657068579934484,1.0
CHSZ,accuracy,full,no_rz_augmentation,27,-0.01877078870676767,2.985997640860829,-0.0061687596973730415,0.762745464691058,1.0
CHSZ,accuracy,full,high_rz_augmentation,27,-0.43086569197354696,2.776727896186595,-0.1522696617219151,0.9272980307084063,1.0
CHSZ,macro_f1,full,classical_latent,27,1.7011453718631515,8.281062270630168,0.201585908132699,0.5034132106662779,1.0
CHSZ,macro_f1,full,quantum_depth_1,27,-0.21793665092070252,6.373884937362518,-0.03355296048476749,0.31731050786291415,1.0
CHSZ,macro_f1,full,quantum_depth_3,27,-1.6224078324717435,5.43649188524762,-0.2928505756713752,0.14507695028788484,1.0
CHSZ,macro_f1,full,no_entanglement,27,0.4772210813417946,7.417831395803516,0.06313169571313884,0.3719614039338499,1.0
CHSZ,macro_f1,full,linear_entanglement,27,0.3703312742746868,7.962784346328081,0.045638380767662114,0.7533040472859123,1.0
CHSZ,macro_f1,full,no_reupload,27,-0.3660714701405036,7.543734290523646,-0.04761944091988339,0.5230089917974712,1.0
CHSZ,macro_f1,full,frozen_reupload_scale,27,-0.27107259284623964,3.9163336808534512,-0.06792203889678458,0.5271827452554574,1.0
CHSZ,macro_f1,full,uniform_channel_pool,27,0.5766291031125279,3.5523454322744774,0.15928913709880507,0.23105922995345296,1.0
CHSZ,macro_f1,full,max_channel_pool,27,0.8289183160941412,8.794924647390276,0.09248779064152796,0.8400716444402775,1.0
CHSZ,macro_f1,full,no_bilstm,27,5.831425516414911,10.226629685181955,0.5595604292824644,0.01506437361240387,0.36154496669769287
CHSZ,macro_f1,full,endpoint_bilstm,27,0.14522688738650105,5.547880511880117,0.025687670533962342,0.27760541836356367,1.0
CHSZ,macro_f1,full,mean_bilstm,27,0.936696412993594,4.512052888523152,0.20371802981665832,0.3896017975794499,1.0
CHSZ,macro_f1,full,linear_classifier,27,-1.133432453158912,6.413994059233655,-0.17340909912485378,0.5296296702875958,1.0
CHSZ,macro_f1,full,mlp_classifier,27,-0.9246381374722209,6.737647275274,-0.13466921322669853,0.49263349914348786,1.0
CHSZ,macro_f1,full,no_spectral,27,25.47931627565393,22.4622713694502,1.1131120697801575,4.0999581814844626e-05,0.0010249895453711157
CHSZ,macro_f1,full,no_bandpowers,27,0.10799859023980192,6.333225561171757,0.016733929016908344,0.7825803044501396,1.0
CHSZ,macro_f1,full,no_entropy,27,5.147183555450163,12.40624132061805,0.40713104819160434,0.04355788230895996,1.0
CHSZ,macro_f1,full,no_hjorth,27,0.03089595728613877,6.276744204760234,0.004830276787278734,0.8611621969468249,1.0
CHSZ,macro_f1,full,no_hjorth_mobility,27,1.2416100683466227,5.295815433562521,0.23006850829109826,0.21923253328133308,1.0
CHSZ,macro_f1,full,no_hjorth_complexity,27,0.11724877072037287,6.35079190189469,0.018116955086853924,0.7842886020465609,1.0
CHSZ,macro_f1,full,no_connectivity,27,-1.952017494462586,6.462269762915791,-0.2964172092686481,0.09185084396186832,1.0
CHSZ,macro_f1,full,no_mean_connectivity,27,2.2353234389687593,7.312549108685195,0.2999689951319752,0.13074268651252574,1.0
CHSZ,macro_f1,full,no_derivative_connectivity,27,-0.7669908621677387,7.735842985552338,-0.09729428603357076,0.8489292299042391,1.0
CHSZ,macro_f1,full,no_rz_augmentation,27,-1.1800430564855928,4.3523768603635435,-0.26605789641470745,0.3759797524564171,1.0
CHSZ,macro_f1,full,high_rz_augmentation,27,-1.0067096286979076,3.4337861263788287,-0.2876972911487332,0.4470311611751585,1.0
Sleep-EDF-20,accuracy,full,classical_latent,20,0.40200949215400783,1.373753965650024,0.28522602610520364,0.11398696899414062,1.0
Sleep-EDF-20,accuracy,full,quantum_depth_1,20,0.7354784194877588,1.4479152950514562,0.4950950462566642,0.023950576782226562,0.47901153564453125
Sleep-EDF-20,accuracy,full,quantum_depth_3,20,0.8898413406084217,1.678451562937256,0.5167322511971475,0.017181396484375,0.360809326171875
Sleep-EDF-20,accuracy,full,no_entanglement,20,0.6336065083689562,1.7760880910635441,0.347709799062199,0.10539817810058594,1.0
Sleep-EDF-20,accuracy,full,linear_entanglement,20,0.5467436753572492,1.4806367956697397,0.3599125848160235,0.0442084385246971,0.7073350163951536
Sleep-EDF-20,accuracy,full,no_reupload,20,0.7911006779713781,1.5568143723397716,0.49528676965111684,0.026641845703125,0.506195068359375
Sleep-EDF-20,accuracy,full,frozen_reupload_scale,20,0.052718930554750895,1.2216791099639477,0.04206019158423575,0.8694877624511719,1.0
Sleep-EDF-20,accuracy,full,uniform_channel_pool,20,-0.19135346996120858,1.4012071187899837,-0.13310544129179683,0.6215133666992188,1.0
Sleep-EDF-20,accuracy,full,max_channel_pool,20,0.3444039324548577,1.7582602414812558,0.19091794388485928,0.40909767150878906,1.0
Sleep-EDF-20,accuracy,full,no_bilstm,20,1.7049182387124404,2.0411913530707553,0.8141072821244727,0.002712249755859375,0.062381744384765625
Sleep-EDF-20,accuracy,full,endpoint_bilstm,20,0.08855085638659403,1.032475406033278,0.08359395112110082,0.35466939531524566,1.0
Sleep-EDF-20,accuracy,full,mean_bilstm,20,0.24805231984851375,1.0689008671315525,0.22618701346966757,0.1893482208251953,1.0
Sleep-EDF-20,accuracy,full,linear_classifier,20,0.5305512018770479,1.2084576227684063,0.4279151669580584,0.013616561889648438,0.2995643615722656
Sleep-EDF-20,accuracy,full,mlp_classifier,20,0.34737904583760654,1.3986281619277723,0.24208236410800715,0.2942523956298828,1.0
Sleep-EDF-20,accuracy,full,no_spectral,20,4.682688185003271,4.313502694066871,1.0581006193150664,3.62396240234375e-05,0.0009059906005859375
Sleep-EDF-20,accuracy,full,no_bandpowers,20,2.9372551614548286,2.5968753914227833,1.1024334125344237,0.0001049041748046875,0.0025177001953125
Sleep-EDF-20,accuracy,full,no_entropy,20,1.079985888014243,2.030095890685296,0.5185173958564752,0.029575347900390625,0.5323562622070312
Sleep-EDF-20,accuracy,full,no_hjorth,20,0.5245393435910664,2.221189927636413,0.23017289265234284,0.17685317993164062,1.0
Sleep-EDF-20,accuracy,full,no_hjorth_mobility,20,0.011100207382306593,1.1455684601231868,0.009444345083351756,0.7285060882568359,1.0
Sleep-EDF-20,accuracy,full,no_hjorth_complexity,20,0.29875856366786735,2.073076308239823,0.1404645968528599,0.40909767150878906,1.0
Sleep-EDF-20,accuracy,full,no_connectivity,20,1.2503969805201116,2.7226683553295725,0.447625660857412,0.03276824951171875,0.5570602416992188
Sleep-EDF-20,accuracy,full,no_mean_connectivity,20,0.26031015167840155,1.5215484398882169,0.1667504923117536,0.47490501403808594,1.0
Sleep-EDF-20,accuracy,full,no_derivative_connectivity,20,0.6827727876973277,1.7211503318889165,0.3866510567159029,0.058258056640625,0.873870849609375
Sleep-EDF-20,accuracy,full,no_rz_augmentation,20,0.28649888652817734,0.9811838614312933,0.28459963894365814,0.16495704650878906,1.0
Sleep-EDF-20,accuracy,full,high_rz_augmentation,20,-0.005442541978818838,1.2334843250080303,-0.004300608958301232,0.8405336616716674,1.0
Sleep-EDF-20,macro_f1,full,classical_latent,20,0.025075217725117938,2.4570382533907758,0.009947056785980055,0.7285060882568359,1.0
Sleep-EDF-20,macro_f1,full,quantum_depth_1,20,2.0913503996569314,3.40700926419741,0.5982948876187456,0.01923370361328125,0.384674072265625
Sleep-EDF-20,macro_f1,full,quantum_depth_3,20,1.1747377224658142,2.7615599205058214,0.4146180897594405,0.069580078125,1.0
Sleep-EDF-20,macro_f1,full,no_entanglement,20,0.9077329498986014,2.0612387687116587,0.4292315144158876,0.0758514404296875,1.0
Sleep-EDF-20,macro_f1,full,linear_entanglement,20,1.8105242154007133,2.958210476525878,0.5965365657325291,0.01923370361328125,0.384674072265625
Sleep-EDF-20,macro_f1,full,no_reupload,20,1.250418831614931,2.78027748653169,0.4383582306322476,0.0758514404296875,1.0
Sleep-EDF-20,macro_f1,full,frozen_reupload_scale,20,-0.1275783607906437,2.464906624699776,-0.05044734891836719,0.9272785186767578,1.0
Sleep-EDF-20,macro_f1,full,uniform_channel_pool,20,-0.38589448656325126,2.4133263828515723,-0.15585269468953483,0.6476554870605469,1.0
Sleep-EDF-20,macro_f1,full,max_channel_pool,20,0.5343045989019604,2.738860788554292,0.1901431816011344,0.49800872802734375,1.0
Sleep-EDF-20,macro_f1,full,no_bilstm,20,3.4153086396216543,2.724678599028789,1.2217334898254473,8.20159912109375e-05,0.0019683837890625
Sleep-EDF-20,macro_f1,full,endpoint_bilstm,20,0.05856117055558165,2.032360911229534,0.02808476008580704,0.956329345703125,1.0
Sleep-EDF-20,macro_f1,full,mean_bilstm,20,0.32808939628743017,2.262594098201612,0.14133422671206688,0.5458755493164062,1.0
Sleep-EDF-20,macro_f1,full,linear_classifier,20,2.0205185017569494,3.0382754839383534,0.6481827737680582,0.006389617919921875,0.14057159423828125
Sleep-EDF-20,macro_f1,full,mlp_classifier,20,0.7457606871284799,2.370993596165453,0.30657088486617257,0.2773551940917969,1.0
