dataset,variant,complete_folds,expected_folds,accuracy_mean,accuracy_std,balanced_accuracy_mean,balanced_accuracy_std,macro_f1_mean,macro_f1_std,weighted_f1_mean,weighted_f1_std
CHSZ,mlp_classifier,27,27,91.14783644163438,8.408461344014393,81.5229444108922,17.592369975241382,76.34487381518902,18.349968365135727,91.87268730695124,7.256450796718701
CHSZ,no_spectral,27,27,81.17270774582342,20.482532096611784,55.18899369249061,12.336281884342757,49.94091940206288,16.503691803811236,75.8332673933859,25.603584127656173
CHSZ,no_bandpowers,27,27,90.4447851638676,10.569622143549847,80.45660310581628,17.49288099665615,75.312237087477,18.855110737510334,91.25894112174235,8.827120065274142
CHSZ,no_entropy,27,27,86.46077678490472,10.65508060071456,74.9525417821659,15.732415402909389,70.27305212226663,16.330256179668247,87.2797785266723,10.709054581116732
CHSZ,no_hjorth,27,27,90.73506813274052,8.871209397916326,79.1547894805383,17.275786865099597,75.38933972043066,18.085774644167856,91.2093534534711,8.098702414517964
CHSZ,no_hjorth_mobility,27,27,89.27432835070013,9.207718643169889,79.18398090185164,17.11697967202994,74.17862560937017,18.037248249117365,90.05964668367758,7.802738040360525
CHSZ,no_hjorth_complexity,27,27,90.4428807604054,9.615754660433186,79.97373329132375,17.75392006217676,75.30298690699642,18.932306304682292,91.28076357605353,7.8285347692596305
CHSZ,no_connectivity,27,27,92.3551605603988,7.246476859583558,81.66911748376464,17.94620533051812,77.37225317217938,18.503820892387303,92.71579749658414,6.530618793801955
CHSZ,no_mean_connectivity,27,27,90.05151168414658,9.507945800605738,76.9514928846169,17.50472014341614,73.18491223874805,17.91960995525402,90.26357236095704,9.348771493827275
CHSZ,no_derivative_connectivity,27,27,91.62370613114973,6.5538640946575395,80.69404717063773,17.328207880172247,76.18722653988453,17.10498241890201,92.0066967863556,6.181589087046056
CHSZ,no_rz_augmentation,27,27,90.89750976451415,7.422317089234352,82.10228155721732,16.298221922183057,76.60027873420239,16.76668320781464,91.67411130696271,6.656254430793526
CHSZ,high_rz_augmentation,27,27,91.30960466778095,7.111943622531683,81.79001763306206,16.97056064842391,76.42694530641471,17.042020363398787,91.9209043052477,6.607608724516506
Sleep-EDF-20,full,20,20,91.07524590809098,3.2145366824442907,76.5792669447556,5.039035386194488,73.06071907236372,5.431192717680397,91.53406652580583,2.7791587544933503
Sleep-EDF-20,classical_latent,20,20,90.67323641593697,3.8672370963292955,76.69073759271427,5.768195118627548,73.03564385463861,6.591727119269549,91.31644877062413,3.3322668951073946
Sleep-EDF-20,quantum_depth_1,20,20,90.33976748860323,3.598349839061258,74.04110540689774,5.988250489134203,70.96936867270679,6.116936299023679,90.80036193997515,3.142017234203552
Sleep-EDF-20,quantum_depth_3,20,20,90.18540456748256,3.988377737257286,75.25757464815152,6.424545186242475,71.88598134989789,6.07345334425435,90.90807199802241,3.2620672560591824
Sleep-EDF-20,no_entanglement,20,20,90.44163939972202,3.9415951468426504,75.41341950162906,6.364261966487116,72.15298612246511,6.166167555263153,90.8405821004315,3.444084244271394
